Epoch,Accuracy,TrainLoss
293,90.625,0.236419
294,78.125,0.496388
295,87.5,0.48708
296,84.375,0.275894
297,96.875,0.22158
298,93.75,0.257098
299,87.5,0.369209
300,78.125,0.446442
301,93.75,0.184165
302,87.5,0.291469
303,93.75,0.199966
304,100,0.0607513
305,90.625,0.205187
306,87.5,0.583313
307,90.625,0.211929
308,96.875,0.0601697
309,90.625,0.310954
310,100,0.0627413
311,96.875,0.150146
312,90.625,0.218836
313,93.75,0.193494
314,90.625,0.48948
315,96.875,0.164047
316,96.875,0.149022
317,93.75,0.211371
318,93.75,0.222783
319,90.625,0.370677
320,81.25,0.457321
321,93.75,0.187391
322,96.875,0.206324
323,96.875,0.106237
324,96.875,0.182097
325,90.625,0.181976
326,90.625,0.143588
327,81.25,0.428746
328,90.625,0.340746
329,93.75,0.273244
330,100,0.0278267
331,93.75,0.229262
332,93.75,0.133375
333,84.375,0.314036
334,90.625,0.232637
335,96.875,0.138438
336,87.5,0.477533
337,87.5,0.485728
338,96.875,0.102691
339,96.875,0.126543
340,96.875,0.284728
341,93.75,0.22707
342,93.75,0.210242
343,96.875,0.115012
344,93.75,0.374778
345,93.75,0.422141
346,96.875,0.10663
347,96.875,0.135805
348,90.625,0.233567
349,93.75,0.145025
350,100,0.1002
351,90.625,0.34173
352,90.625,0.211475
353,96.875,0.143238
354,96.875,0.0978574
355,96.875,0.11595
356,84.375,0.2911
357,93.75,0.156378
358,93.75,0.214365
359,96.875,0.240789
360,93.75,0.206962
361,90.625,0.362885
362,81.25,0.593973
363,87.5,0.356388
364,84.375,0.360534
365,93.75,0.285023
366,81.25,0.696442
367,96.875,0.185875
368,96.875,0.262496
369,96.875,0.133571
370,93.75,0.153154
371,87.5,0.302822
372,96.875,0.125386
373,100,0.0586489
374,96.875,0.288477
375,96.875,0.135416
376,93.75,0.235219
377,90.625,0.368627
378,93.75,0.307023
379,90.625,0.278169
380,100,0.0713338
381,100,0.100943
382,93.75,0.232276
383,93.75,0.195659
384,87.5,0.371531
385,90.625,0.33145
386,93.75,0.235616
387,81.25,0.404949
388,100,0.0611455
389,93.75,0.204028
390,90.625,0.215736
391,90.625,0.360648
392,90.625,0.262325
393,87.5,0.416016
394,78.125,0.755108
395,90.625,0.496165
396,84.375,0.699113
397,84.375,0.537532
398,100,0.0719345
399,93.75,0.282139
400,90.625,0.326274
401,93.75,0.172598
402,87.5,0.292961
403,81.25,0.438351
404,96.875,0.16138
405,87.5,0.353933
406,90.625,0.290732
407,90.625,0.246505
408,96.875,0.319332
409,87.5,0.546249
410,87.5,0.291083
411,84.375,0.508552
412,100,0.077088
413,93.75,0.334814
414,100,0.0212414
415,87.5,0.318979
416,96.875,0.100974
417,93.75,0.189592
418,96.875,0.182693
419,90.625,0.255318
420,90.625,0.188005
421,96.875,0.213327
422,96.875,0.0651085
423,93.75,0.434573
424,90.625,0.144863
425,100,0.0792524
426,100,0.0369116
427,93.75,0.333349
428,90.625,0.254439
429,90.625,0.434885
430,87.5,0.421015
431,96.875,0.0950735
432,96.875,0.147413
433,81.25,0.403188
434,93.75,0.134627
435,90.625,0.209809
436,93.75,0.173488
437,84.375,0.587276
438,93.75,0.321632
439,96.875,0.107094
440,90.625,0.419415
441,93.75,0.188079
442,93.75,0.171796
443,96.875,0.256411
444,93.75,0.256626
445,90.625,0.226386
446,90.625,0.226943
447,93.75,0.229088
448,90.625,0.313164
449,84.375,0.370875
450,87.5,0.425525
451,96.875,0.128939
452,93.75,0.134956
453,96.875,0.106805
454,93.75,0.193087
455,93.75,0.277578
456,90.625,0.315105
457,100,0.136114
458,81.25,0.420812
459,90.625,0.192392
460,84.375,0.377415
461,87.5,0.343793
462,90.625,0.453793
463,84.375,0.399237
464,93.75,0.24665
465,90.625,0.27247
466,93.75,0.18509
467,93.75,0.143725
468,84.375,0.199114
469,93.75,0.189494
470,96.875,0.244431
471,90.625,0.260895
472,96.875,0.141138
473,90.625,0.580043
474,93.75,0.212377
475,93.75,0.157508
476,93.75,0.259095
477,87.5,0.277062
478,96.875,0.196993
479,96.875,0.100594
480,87.5,0.280915
481,90.625,0.219248
482,93.75,0.249933
483,93.75,0.18506
484,96.875,0.133326
485,90.625,0.244945
486,96.875,0.160402
487,93.75,0.155647
488,93.75,0.248044
489,100,0.0744234
490,100,0.116469
491,100,0.078557
492,87.5,0.341285
493,81.25,0.376289
494,87.5,0.328785
495,96.875,0.130646
496,90.625,0.350791
497,93.75,0.227061
498,100,0.0935445
499,93.75,0.512656
500,93.75,0.231606
501,90.625,0.222266
502,84.375,0.581642
503,96.875,0.0981762
504,96.875,0.147442
505,93.75,0.170423
506,100,0.0499208
507,93.75,0.18213
508,100,0.0172545
509,100,0.118094
510,93.75,0.156342
511,100,0.0728563
512,96.875,0.11364
513,100,0.0571194
514,90.625,0.352228
515,100,0.0769956
516,87.5,0.377753
517,96.875,0.0714986
518,87.5,0.33257
519,96.875,0.0856865
520,96.875,0.179372
521,93.75,0.280712
522,93.75,0.297858
523,93.75,0.2403
524,93.75,0.284288
525,84.375,0.350655
526,96.875,0.116095
527,96.875,0.0870166
528,93.75,0.232402
529,93.75,0.16299
530,93.75,0.20132
531,87.5,0.268805
532,90.625,0.302851
533,93.75,0.212114
534,90.625,0.18445
535,96.875,0.19004
536,93.75,0.108735
537,100,0.0745706
538,93.75,0.166531
539,87.5,0.333626
540,100,0.0356533
541,93.75,0.151923
542,100,0.0318679
543,96.875,0.137057
544,90.625,0.289656
545,90.625,0.218545
546,96.875,0.111211
547,84.375,0.587899
548,93.75,0.129609
549,90.625,0.346228
550,87.5,0.405017
551,100,0.0867947
552,96.875,0.134466
553,93.75,0.152426
554,87.5,0.368809
555,90.625,0.379223
556,90.625,0.309109
557,84.375,0.462215
558,96.875,0.11742
559,96.875,0.177064
560,90.625,0.231702
561,90.625,0.307201
562,93.75,0.183752
563,90.625,0.405182
564,96.875,0.108103
565,96.875,0.156241
566,96.875,0.189257
567,100,0.0606003
568,93.75,0.145128
569,100,0.0243956
570,96.875,0.109677
571,100,0.0982681
572,96.875,0.176373
573,96.875,0.157185
574,96.875,0.216662
575,93.75,0.0965915
576,93.75,0.185054
577,100,0.0682731
578,90.625,0.378935
579,93.75,0.239931
580,96.875,0.0614551
581,96.875,0.119684
582,96.875,0.25755
583,96.875,0.116903
584,100,0.0586586
585,90.625,0.218204
586,84.375,0.366082
587,96.875,0.0628646
588,96.875,0.10355
589,90.625,0.219553
590,100,0.0593204
591,96.875,0.121448
592,100,0.0470695
593,100,0.0468832
594,93.75,0.148042
595,96.875,0.12251
596,96.875,0.162095
597,96.875,0.204279
598,90.625,0.265886
599,90.625,0.186586
600,100,0.0770792
601,96.875,0.131189
602,96.875,0.296144
603,96.875,0.124716
604,96.875,0.0677003
605,93.75,0.279598
606,90.625,0.308984
607,90.625,0.154616
608,96.875,0.111043
609,96.875,0.0677744
610,93.75,0.267746
611,90.625,0.338474
612,93.75,0.223156
613,93.75,0.18314
614,96.875,0.0668564
615,96.875,0.0607023
616,96.875,0.133456
617,100,0.0194645
618,100,0.0480004
619,96.875,0.2754
620,93.75,0.362217
621,93.75,0.095932
622,96.875,0.115694
623,93.75,0.146281
624,93.75,0.314686
625,96.875,0.136413
626,90.625,0.374063
627,93.75,0.159088
628,93.75,0.313965
629,93.75,0.195791
630,96.875,0.0557136
631,78.125,0.857221
632,90.625,0.33695
633,90.625,0.236228
634,100,0.0867963
635,100,0.0545482
636,93.75,0.234798
637,96.875,0.0710724
638,96.875,0.149453
639,93.75,0.132212
640,96.875,0.0749226
641,100,0.0310639
642,93.75,0.166744
643,93.75,0.28664
644,90.625,0.19769
645,96.875,0.159074
646,93.75,0.168926
647,93.75,0.330606
648,90.625,0.363157
649,93.75,0.1965
650,90.625,0.479546
651,96.875,0.0861692
652,93.75,0.156997
653,90.625,0.301634
654,87.5,0.375543
655,87.5,0.383726
656,93.75,0.298423
657,93.75,0.248282
658,93.75,0.178723
659,96.875,0.320293
660,96.875,0.117398
661,90.625,0.333081
662,96.875,0.0712097
663,87.5,0.34503
664,96.875,0.140131
665,100,0.0246324
666,93.75,0.386255
667,93.75,0.171023
668,93.75,0.170449
669,93.75,0.172274
670,93.75,0.19264
671,87.5,0.232453
672,100,0.033957
673,96.875,0.074364
674,96.875,0.112821
675,90.625,0.494389
676,93.75,0.297085
677,93.75,0.161789
678,96.875,0.110466
679,93.75,0.193048
680,96.875,0.147138
681,100,0.0533344
682,96.875,0.0711707
683,100,0.0710863
684,100,0.0397343
685,90.625,0.223827
686,93.75,0.123439
687,90.625,0.408906
688,93.75,0.285286
689,96.875,0.0639588
690,96.875,0.112867
691,96.875,0.141214
692,84.375,0.566797
693,87.5,0.304304
694,90.625,0.431561
695,93.75,0.404857
696,96.875,0.0851329
697,96.875,0.223382
698,96.875,0.217613
699,96.875,0.0809496
700,100,0.0421881
701,93.75,0.0935009
702,93.75,0.160594
703,90.625,0.331463
704,78.125,0.531181
705,84.375,0.38227
706,87.5,0.319627
707,90.625,0.361291
708,90.625,0.246673
709,93.75,0.145347
710,96.875,0.110122
711,93.75,0.144166
712,90.625,0.224553
713,90.625,0.191107
714,96.875,0.100584
715,96.875,0.109181
716,93.75,0.224773
717,100,0.0706147
718,93.75,0.0792511
719,100,0.0472856
720,84.375,0.343911
721,100,0.100376
722,78.125,0.680899
723,93.75,0.219845
724,96.875,0.107977
725,96.875,0.157633
726,93.75,0.192955
727,96.875,0.0445504
728,100,0.0793115
729,100,0.0362433
730,96.875,0.129959
731,93.75,0.194863
732,90.625,0.176286
733,96.875,0.137327
734,84.375,0.497166
735,96.875,0.227101
736,93.75,0.155271
737,93.75,0.150203
738,90.625,0.318885
739,90.625,0.235748
740,96.875,0.118671
741,90.625,0.160405
742,84.375,0.428396
743,96.875,0.109472
744,96.875,0.116171
745,93.75,0.202803
746,93.75,0.218546
747,93.75,0.113877
748,93.75,0.34162
749,93.75,0.287418
750,93.75,0.114291
751,93.75,0.116898
752,93.75,0.202569
753,96.875,0.0701208
754,93.75,0.156016
755,96.875,0.0880205
756,96.875,0.0824518
757,93.75,0.314376
758,100,0.0423473
759,84.375,0.429218
760,96.875,0.125062
761,96.875,0.0748152
762,100,0.0469282
763,100,0.074081
764,93.75,0.264346
765,90.625,0.163301
766,96.875,0.159857
767,93.75,0.168731
768,90.625,0.151073
769,90.625,0.211474
770,87.5,0.267748
771,93.75,0.257731
772,93.75,0.22174
773,93.75,0.152159
774,93.75,0.172676
775,96.875,0.398796
776,96.875,0.0942325
777,100,0.0578388
778,93.75,0.101233
779,90.625,0.158997
780,90.625,0.306275
781,87.5,0.215729
782,100,0.0537741
783,100,0.040287
784,100,0.0411592
785,87.5,0.260777
786,100,0.0465108
787,93.75,0.180248
788,93.75,0.150352
789,93.75,0.0999943
790,96.875,0.0954953
791,96.875,0.123483
792,96.875,0.0980745
793,96.875,0.0348495
794,93.75,0.260789
795,100,0.0186231
796,100,0.0634322
797,93.75,0.192001
798,96.875,0.0582068
799,93.75,0.399165
800,96.875,0.104705
801,96.875,0.118306
802,93.75,0.128115
803,93.75,0.191232
804,96.875,0.0738715
805,93.75,0.167986
806,93.75,0.13769
807,78.125,0.569596
808,96.875,0.0825201
809,96.875,0.0836625
810,96.875,0.0728313
811,90.625,0.173994
812,93.75,0.179949
813,93.75,0.186296
814,93.75,0.121727
815,90.625,0.218636
816,100,0.0557664
817,100,0.0852739
818,96.875,0.0681664
819,96.875,0.113216
820,93.75,0.159257
821,96.875,0.143651
822,93.75,0.157305
823,100,0.0406242
824,93.75,0.219595
825,93.75,0.343843
826,96.875,0.268441
827,90.625,0.157313
828,93.75,0.138756
829,90.625,0.38631
830,93.75,0.129865
831,90.625,0.274941
832,100,0.0953378
833,81.25,0.769644
834,100,0.0610509
835,87.5,0.32009
836,81.25,0.442559
837,93.75,0.186377
838,90.625,0.245715
839,96.875,0.0696314
840,90.625,0.375297
841,96.875,0.367611
842,96.875,0.0772001
843,100,0.0357136
844,100,0.0684523
845,96.875,0.081428
846,100,0.044421
847,96.875,0.121974
848,90.625,0.276318
849,90.625,0.411809
850,87.5,0.370133
851,90.625,0.259045
852,84.375,0.372155
853,100,0.035092
854,100,0.107004
855,96.875,0.123084
856,96.875,0.104681
857,96.875,0.128419
858,100,0.117865
859,93.75,0.144969
860,84.375,0.339071
861,93.75,0.166997
862,96.875,0.0863467
863,93.75,0.167175
864,93.75,0.315545
865,93.75,0.15336
866,96.875,0.136961
867,93.75,0.164984
868,96.875,0.0422169
869,90.625,0.27044
870,96.875,0.118665
871,93.75,0.232159
872,96.875,0.139152
873,96.875,0.0932719
874,96.875,0.105473
875,96.875,0.0668978
876,96.875,0.0894012
877,100,0.0425198
878,96.875,0.0874364
879,96.875,0.161288
880,90.625,0.234963
881,96.875,0.0959802
882,96.875,0.117857
883,93.75,0.105688
884,100,0.0689446
885,96.875,0.0699307
886,100,0.0135111
887,84.375,0.656619
888,93.75,0.325289
889,90.625,0.121046
890,100,0.0398065
891,96.875,0.194186
892,93.75,0.171551
893,96.875,0.161797
894,93.75,0.205941
895,93.75,0.277876
896,87.5,0.430524
897,100,0.0476822
898,93.75,0.300183
899,100,0.0351589
900,87.5,0.230609
901,96.875,0.119831
902,96.875,0.14069
903,100,0.0459457
904,96.875,0.112789
905,93.75,0.173718
906,96.875,0.111101
907,93.75,0.143012
908,96.875,0.0859315
909,93.75,0.178912
910,96.875,0.137274
911,90.625,0.271358
912,93.75,0.207535
913,87.5,0.2689
914,96.875,0.129964
915,96.875,0.0624236
916,90.625,0.312694
917,93.75,0.236632
918,96.875,0.114974
919,96.875,0.0800537
920,96.875,0.231562
921,90.625,0.144591
922,96.875,0.0575213
923,93.75,0.181401
924,96.875,0.0788164
925,96.875,0.135804
926,96.875,0.0840429
927,96.875,0.154689
928,96.875,0.172907
929,93.75,0.231475
930,93.75,0.259363
931,100,0.0681832
932,100,0.0659423
933,90.625,0.344465
934,93.75,0.209255
935,96.875,0.114443
936,87.5,0.319728
937,90.625,0.237756
938,96.875,0.107712
939,90.625,0.217965
940,93.75,0.261501
941,96.875,0.0912456
942,93.75,0.19844
943,93.75,0.218226
944,93.75,0.1467
945,93.75,0.167122
946,96.875,0.129683
947,96.875,0.0735516
948,96.875,0.100917
949,96.875,0.0823387
950,96.875,0.0662385
951,96.875,0.0991061
952,96.875,0.103651
953,87.5,0.244405
954,87.5,0.347281
955,93.75,0.16995
956,96.875,0.10085
957,96.875,0.182687
958,96.875,0.0908447
959,93.75,0.13947
960,96.875,0.094772
961,90.625,0.24169
962,100,0.0679622
963,96.875,0.070483
964,93.75,0.150025
965,100,0.0819852
966,87.5,0.358129
967,96.875,0.0546152
968,90.625,0.303331
969,90.625,0.168065
970,96.875,0.0986746
971,96.875,0.103231
972,96.875,0.0811829
973,90.625,0.330301
974,100,0.0251054
975,90.625,0.556221
976,100,0.0538709
977,93.75,0.241185
978,93.75,0.194653
979,87.5,0.496601
980,84.375,0.312366
981,93.75,0.186288
982,90.625,0.153827
983,93.75,0.168909
984,96.875,0.0736633
985,100,0.0527245
986,93.75,0.121137
987,93.75,0.143447
988,93.75,0.360769
989,96.875,0.0869849
990,78.125,0.743895
991,93.75,0.260714
992,90.625,0.344196
993,93.75,0.22872
994,96.875,0.174105
995,100,0.0176831
996,84.375,0.31846
997,100,0.0583792
998,100,0.0440951
999,93.75,0.250071
1000,96.875,0.0500141
1001,90.625,0.389459
1002,93.75,0.159464
1003,100,0.0779705
1004,90.625,0.288769
1005,93.75,0.222874
1006,87.5,0.418798
1007,96.875,0.105357
1008,93.75,0.175036
1009,93.75,0.230625
1010,93.75,0.117872
1011,87.5,0.420881
1012,93.75,0.279518
1013,93.75,0.147301
1014,87.5,0.502532
1015,96.875,0.184008
1016,90.625,0.247098
1017,100,0.0186235
1018,96.875,0.166007
1019,100,0.00920483
1020,96.875,0.0922132
1021,93.75,0.313523
1022,93.75,0.120788
1023,100,0.0581292
1024,96.875,0.100141
1025,96.875,0.246871
1026,93.75,0.158824
1027,93.75,0.119033
1028,96.875,0.169016
1029,90.625,0.221623
1030,96.875,0.0910381
1031,100,0.0102233
1032,93.75,0.16236
1033,96.875,0.120604
1034,93.75,0.282505
1035,93.75,0.127619
1036,96.875,0.0988522
1037,93.75,0.0965124
1038,100,0.0941964
1039,96.875,0.203224
1040,100,0.0339463
1041,93.75,0.302357
1042,93.75,0.20326
1043,93.75,0.195775
1044,96.875,0.187207
1045,90.625,0.255593
1046,93.75,0.108842
1047,96.875,0.065934
1048,87.5,0.219227
1049,96.875,0.0851758
1050,96.875,0.106916
1051,93.75,0.152905
1052,100,0.0208142
1053,93.75,0.184125
1054,96.875,0.0794774
1055,93.75,0.180839
1056,84.375,0.609724
1057,100,0.043429
1058,100,0.0294279
1059,96.875,0.0697542
1060,100,0.0319208
1061,100,0.018029
1062,96.875,0.0779859
1063,96.875,0.138489
1064,100,0.0444348
1065,87.5,0.371169
1066,100,0.0511575
1067,93.75,0.118727
1068,100,0.0218873
1069,93.75,0.127499
1070,96.875,0.0871738
1071,93.75,0.100568
1072,96.875,0.0790472
1073,96.875,0.0892891
1074,96.875,0.110965
1075,96.875,0.0609219
1076,90.625,0.508349
1077,96.875,0.111556
1078,100,0.0591434
1079,96.875,0.240224
1080,87.5,0.273025
1081,93.75,0.140463
1082,96.875,0.164868
1083,100,0.0303172
1084,87.5,0.363384
1085,87.5,0.291693
1086,93.75,0.136432
1087,90.625,0.258363
1088,90.625,0.171929
1089,87.5,0.264586
1090,96.875,0.136006
1091,96.875,0.162724
1092,90.625,0.235486
1093,96.875,0.0688195
1094,100,0.0466852
1095,96.875,0.0774746
1096,90.625,0.224734
1097,96.875,0.135361
1098,96.875,0.0664102
1099,93.75,0.274468
1100,96.875,0.0809371
1101,90.625,0.198992
1102,93.75,0.272417
1103,100,0.0341604
1104,96.875,0.113718
1105,100,0.0787724
1106,96.875,0.121656
1107,96.875,0.125741
1108,96.875,0.108464
1109,90.625,0.451106
1110,93.75,0.0830451
1111,100,0.0396701
1112,96.875,0.110249
1113,100,0.0520537
1114,93.75,0.375347
1115,100,0.0320534
1116,93.75,0.189801
1117,100,0.069813
1118,93.75,0.185006
1119,96.875,0.0844709
1120,100,0.0214198
1121,84.375,0.254482
1122,96.875,0.0695587
1123,90.625,0.162453
1124,93.75,0.132119
1125,96.875,0.0869568
1126,96.875,0.156089
1127,93.75,0.223135
1128,93.75,0.193741
1129,90.625,0.364259
1130,96.875,0.153246
1131,96.875,0.166118
1132,93.75,0.272905
1133,96.875,0.101343
1134,96.875,0.122828
1135,100,0.0238633
1136,96.875,0.0436178
1137,96.875,0.0659269
1138,96.875,0.145762
1139,90.625,0.273473
1140,93.75,0.133142
1141,96.875,0.081026
1142,96.875,0.0584397
1143,96.875,0.149714
1144,96.875,0.166974
1145,100,0.0317056
1146,96.875,0.0976505
1147,100,0.00949146
1148,93.75,0.166141
1149,93.75,0.434579
1150,96.875,0.0450552
1151,93.75,0.148542
1152,90.625,0.226804
1153,93.75,0.129232
1154,96.875,0.095415
1155,96.875,0.123772
1156,100,0.0231296
1157,100,0.0245146
1158,90.625,0.311459
1159,90.625,0.381129
1160,96.875,0.197528
1161,96.875,0.103907
1162,96.875,0.155019
1163,100,0.0212609
1164,100,0.0215326
1165,93.75,0.19347
1166,93.75,0.189847
1167,93.75,0.11151
1168,87.5,0.590155
1169,87.5,0.461268
1170,96.875,0.215388
1171,87.5,0.486294
1172,93.75,0.133943
1173,90.625,0.152025
1174,81.25,0.497708
1175,96.875,0.13091
1176,96.875,0.0607302
1177,93.75,0.201698
1178,96.875,0.0984381
1179,93.75,0.176539
1180,90.625,0.220155
1181,96.875,0.121073
1182,90.625,0.29463
1183,93.75,0.242131
1184,96.875,0.0941875
1185,100,0.0553151
1186,93.75,0.26753
1187,93.75,0.137529
1188,96.875,0.153764
1189,100,0.0440949
1190,96.875,0.0991077
1191,100,0.0230301
1192,96.875,0.0691847
1193,100,0.0366878
1194,96.875,0.0665875
1195,100,0.0804643
1196,96.875,0.146548
1197,96.875,0.107223
1198,90.625,0.262815
1199,100,0.0275125
1200,87.5,0.25174
1201,96.875,0.14507
1202,96.875,0.0550102
1203,100,0.0411597
1204,93.75,0.328006
1205,100,0.0214518
1206,96.875,0.176323
1207,93.75,0.284702
1208,93.75,0.139981
1209,96.875,0.0960704
1210,90.625,0.303125
