Epoch,Accuracy,TrainLoss
301,81.25,0.385869
302,87.5,0.325324
303,68.75,0.759724
304,93.75,0.15497
305,100,0.107706
306,100,0.0985215
307,87.5,0.337209
308,100,0.0985064
309,93.75,0.3024
310,81.25,0.649701
311,93.75,0.521767
312,93.75,0.143943
313,100,0.08911
314,93.75,0.403149
315,100,0.15287
316,93.75,0.382698
317,87.5,0.309682
318,81.25,0.407986
319,87.5,0.229602
320,93.75,0.177688
321,87.5,0.319626
322,81.25,0.494393
323,75,0.539828
324,81.25,0.694719
325,87.5,0.457756
326,100,0.0854075
327,100,0.0836992
328,93.75,0.205765
329,93.75,0.257849
330,100,0.0585801
331,100,0.0780393
332,81.25,0.853298
333,87.5,0.26232
334,87.5,0.302939
335,100,0.0346844
336,93.75,0.465037
337,87.5,0.339866
338,100,0.109207
339,87.5,0.260741
340,93.75,0.164631
341,93.75,0.189949
342,100,0.0628397
343,87.5,0.289284
344,100,0.0553185
345,93.75,0.103931
346,93.75,0.167667
347,75,0.59382
348,87.5,0.629499
349,100,0.0813908
350,93.75,0.128862
351,81.25,0.356749
352,75,0.543716
353,87.5,0.407866
354,93.75,0.173603
355,87.5,0.255298
356,93.75,0.209138
357,81.25,0.404608
358,93.75,0.27411
359,75,0.543319
360,93.75,0.190171
361,93.75,0.152401
362,100,0.0442147
363,87.5,0.396949
364,100,0.0764947
365,93.75,0.233657
366,93.75,0.754971
367,100,0.104103
368,93.75,0.338681
369,81.25,0.917718
370,100,0.140604
371,100,0.125836
372,93.75,0.289663
373,100,0.144648
374,93.75,0.479843
375,100,0.0454043
376,100,0.0453416
377,100,0.0233968
378,93.75,0.262798
379,93.75,0.0673735
380,93.75,0.229181
381,93.75,0.203065
382,87.5,0.485525
383,100,0.0747881
384,93.75,0.391062
385,100,0.0563025
386,100,0.0818241
387,100,0.061408
388,87.5,0.314949
389,87.5,0.282141
390,93.75,0.146032
391,93.75,0.241703
392,93.75,0.347429
393,93.75,0.234552
394,100,0.155893
395,100,0.138967
396,100,0.128174
397,93.75,0.210863
398,87.5,0.305225
399,93.75,0.131408
400,81.25,0.342505
401,100,0.0727181
402,75,0.637428
403,100,0.0588077
404,87.5,0.34585
405,81.25,0.916223
406,100,0.114729
407,87.5,0.214568
408,100,0.102512
409,100,0.102896
410,87.5,0.530735
411,93.75,0.266168
412,100,0.107962
413,87.5,0.402826
414,100,0.0452012
415,93.75,0.281677
416,100,0.0888518
417,87.5,0.575697
418,93.75,0.107889
419,93.75,0.245951
420,93.75,0.382468
421,87.5,0.217969
422,93.75,0.130648
423,93.75,0.399088
424,100,0.0986015
425,87.5,0.283543
426,87.5,0.388527
427,87.5,0.274896
428,87.5,0.283923
429,81.25,0.667839
430,93.75,0.521206
431,81.25,0.743584
432,87.5,0.24365
433,75,0.509294
434,68.75,0.389567
435,93.75,0.220541
436,87.5,0.331753
437,81.25,0.393642
438,87.5,0.298084
439,81.25,0.842437
440,87.5,0.372882
441,87.5,0.226005
442,81.25,0.499017
443,93.75,0.212555
444,100,0.0649468
445,100,0.0768625
446,87.5,0.198715
447,81.25,0.668489
448,93.75,0.185857
449,93.75,0.177056
450,87.5,0.289334
451,81.25,0.409677
452,87.5,0.488608
453,75,0.542857
454,100,0.116668
455,87.5,0.475151
456,93.75,0.376132
457,87.5,0.592298
458,100,0.0745579
459,93.75,0.241196
460,87.5,0.370978
461,87.5,0.183095
462,87.5,0.288616
463,93.75,0.241306
464,100,0.0588473
465,93.75,0.236083
466,93.75,0.259615
467,100,0.122907
468,93.75,0.177562
469,93.75,0.200591
470,93.75,0.22121
471,87.5,0.441856
472,93.75,0.186937
473,100,0.0308456
474,100,0.0289484
475,81.25,0.827064
476,81.25,0.288482
477,93.75,0.260115
478,93.75,0.403208
479,100,0.0192981
480,87.5,0.348346
481,93.75,0.116667
482,100,0.0507813
483,100,0.137672
484,87.5,0.467139
485,100,0.068352
486,87.5,0.438465
487,100,0.107474
488,100,0.0665525
489,87.5,0.285648
490,93.75,0.394105
491,75,0.675758
492,100,0.0660458
493,75,0.866729
494,93.75,0.221957
495,100,0.0986266
496,93.75,0.159734
497,100,0.0218244
498,87.5,0.269502
499,87.5,0.196733
500,81.25,0.51521
501,81.25,0.455582
502,93.75,0.153699
503,100,0.0805735
504,87.5,0.27087
505,93.75,0.0904216
506,100,0.0764905
507,87.5,0.206715
508,68.75,0.992687
509,100,0.0394639
510,81.25,0.349545
511,100,0.0445748
512,87.5,0.186724
513,87.5,0.829862
514,93.75,0.277624
515,87.5,0.521845
516,87.5,0.19581
517,87.5,0.540978
518,93.75,0.180009
519,75,0.698531
520,100,0.124441
521,93.75,0.203053
522,93.75,0.127284
523,93.75,0.122844
524,93.75,0.115983
525,93.75,0.191892
526,93.75,0.141635
527,100,0.121733
528,75,0.706286
529,87.5,0.830981
530,81.25,0.520147
531,87.5,0.283459
532,93.75,0.180788
533,93.75,0.170734
534,100,0.0461605
535,87.5,0.237449
536,93.75,0.193033
537,93.75,0.133133
538,93.75,0.192328
539,87.5,0.249037
540,87.5,0.65529
541,93.75,0.243731
542,93.75,0.342865
543,93.75,0.327751
544,68.75,1.10695
545,81.25,1.00109
546,75,1.44737
547,100,0.160598
548,81.25,0.541073
549,93.75,0.41029
550,81.25,0.312292
551,100,0.195626
552,87.5,0.405963
553,81.25,0.661197
554,56.25,1.03096
555,93.75,0.310729
556,87.5,0.336157
557,87.5,0.607093
558,87.5,0.439927
559,93.75,0.10655
560,100,0.0806236
561,93.75,0.249055
562,93.75,0.101283
563,87.5,0.300326
564,93.75,0.307514
565,100,0.0400755
566,93.75,0.160325
567,93.75,0.0866141
568,81.25,0.489837
569,93.75,0.280694
570,75,0.666854
571,93.75,0.177154
572,87.5,0.332496
573,100,0.229256
574,93.75,0.352622
575,100,0.122866
576,100,0.100357
577,87.5,0.463494
578,100,0.192296
579,87.5,0.462322
580,100,0.17043
581,93.75,0.441717
582,100,0.0276666
583,100,0.125142
584,87.5,0.478889
585,87.5,0.282987
586,93.75,0.261616
587,75,0.588421
588,87.5,0.225452
589,93.75,0.143097
590,75,0.679263
591,81.25,0.388585
592,100,0.0479869
593,93.75,0.348404
